State,District,Subject,LO_Code,Description,Score
Andhra Pradesh,Ntr,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,68
Andhra Pradesh,Palnadu,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,74
Andhra Pradesh,Parvathipuram Manyam,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,69
Andhra Pradesh,Prakasam,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,63
Andhra Pradesh,Spsr Nellore,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,70
Andhra Pradesh,Sri Sathya Sai,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,65
Andhra Pradesh,Srikakulam,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Andhra Pradesh,Tirupati,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Andhra Pradesh,Visakhapatanam,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,75
Andhra Pradesh,Vizianagaram,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,69
Andhra Pradesh,West Godavari,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,70
Andhra Pradesh,Y.S.R.,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,66
Chhattisgarh,Balod,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",66
Chhattisgarh,Baloda Bazar,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Balrampur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",69
Chhattisgarh,Bastar,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",58
Chhattisgarh,Bemetara,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",56
Chhattisgarh,Bijapur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",68
Chhattisgarh,Bilaspur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Dantewada,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Dhamtari,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Durg,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",59
Chhattisgarh,Gariyaband,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",51
Chhattisgarh,Gaurella Pendra Marwahi,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",50
Chhattisgarh,Janjgir-Champa,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",47
Chhattisgarh,Jashpur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",66
Chhattisgarh,Kabirdham,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",61
Chhattisgarh,Kanker,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",60
Chhattisgarh,Khairgarh Chhuikhadan Gandai,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",48
Chhattisgarh,Kondagaon,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",46
Chhattisgarh,Korba,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",53
Chhattisgarh,Korea,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",64
Chhattisgarh,Mahasamund,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Manendragarh Chirimiri Bharatpur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",57
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",52
Chhattisgarh,Mungeli,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",59
Chhattisgarh,Narayanpur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",44
Chhattisgarh,Raigarh,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",64
Chhattisgarh,Raipur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",44
Chhattisgarh,Rajnandgaon,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",49
Chhattisgarh,Sakti,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",44
Chhattisgarh,Sarangarh Bilaigarh,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",51
Chhattisgarh,Sukma,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",41
Chhattisgarh,Surajpur,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",63
Chhattisgarh,Surguja,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",69
Chhattisgarh,Balod,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,71
Chhattisgarh,Baloda Bazar,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Chhattisgarh,Balrampur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,72
Chhattisgarh,Bastar,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Chhattisgarh,Bemetara,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,64
Chhattisgarh,Bijapur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Chhattisgarh,Bilaspur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Chhattisgarh,Dantewada,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,67
Chhattisgarh,Dhamtari,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,66
Chhattisgarh,Durg,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,72
Chhattisgarh,Gariyaband,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,62
Chhattisgarh,Gaurella Pendra Marwahi,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,63
Chhattisgarh,Janjgir-Champa,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,58
Chhattisgarh,Jashpur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,75
Chhattisgarh,Kabirdham,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,73
Chhattisgarh,Kanker,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,64
Chhattisgarh,Khairgarh Chhuikhadan Gandai,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,57
Chhattisgarh,Kondagaon,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,54
Chhattisgarh,Korba,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,60
Chhattisgarh,Korea,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,71
Chhattisgarh,Mahasamund,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,63
Chhattisgarh,Manendragarh Chirimiri Bharatpur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,66
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,61
Chhattisgarh,Mungeli,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,69
Chhattisgarh,Narayanpur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,54
Chhattisgarh,Raigarh,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,74
Chhattisgarh,Raipur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,55
Chhattisgarh,Rajnandgaon,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,64
Chhattisgarh,Sakti,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,56
Chhattisgarh,Sarangarh Bilaigarh,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,56
Chhattisgarh,Sukma,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,51
Chhattisgarh,Surajpur,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,72
Chhattisgarh,Surguja,Mathematics,C-8.1,C-8.1 Sorts objects into groups and sub-groups based on more than one property,74
Jammu & Kashmir,Anantnag,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",54
Jammu & Kashmir,Bandipora,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",38
Jammu & Kashmir,Baramulla,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",50
Jammu & Kashmir,Budgam,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",54
Jammu & Kashmir,Doda,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",55
Jammu & Kashmir,Ganderbal,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",56
Jammu & Kashmir,Jammu,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",53
Jammu & Kashmir,Kathua,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",51
Jammu & Kashmir,Kishtwar,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",62
Jammu & Kashmir,Kulgam,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",58
Jammu & Kashmir,Kupwara,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",45
Jammu & Kashmir,Poonch,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",59
Jammu & Kashmir,Pulwama,Language,C-10.5,"C-10.5 Reads short stories and comprehends their meaning - by identifying characters, storyline and what the author wants to say - on their own",62
